"Dani California",1912376
"Optimistic",1978455
"976-EVIL",1942154
"Back to the Old House",751203
"Everlong",954902
"2+2=5",1928435
"Scar Tissue",742105
"The Less I Know The Better",1993276
"Pearl Diver",903512
"Sweet Child o' Mine",603176
"There Is a Light That Never Goes Out",721456954902
"15 Steps",1772008
"Call It Fate, Call It Karma",103215
"Blur",632400
"Bohemian Rhapsody",315001
"Smells Like Teen Spirit",995412
"Paranoid Android",662784
"Karma Police",1592480
"Enter Sandman",534275
"Tonight, Tonight",85602
